更新时间: 2026-05-03 05:00:03

央视频道,#genre#
CCTV7,http://114.248.1.66:23456/rtp/239.3.1.61:8104
CCTV7,http://221.219.178.216:4022/rtp/239.3.1.61:8104
CCTV7,http://121.29.215.187:2083/udp/239.253.92.194:6059
CCTV7,http://60.4.30.6:8077/udp/239.253.92.194:6059
CCTV7,http://121.29.215.187:2083/udp/239.253.93.86:6252
CCTV7,http://60.4.30.6:8077/udp/239.253.93.86:6252
CCTV7,http://27.223.140.6:4001/rtp/239.253.254.233:8000
CCTV7,http://39.87.233.138:4000/rtp/239.253.254.233:8000
CCTV7,http://39.87.232.178:4004/rtp/239.253.254.233:8000
CCTV7,http://39.77.162.237:4002/rtp/239.253.254.233:8000
CCTV8,http://115.58.142.128:4000/rtp/225.1.4.161:1197
CCTV8,http://182.114.137.129:8800/rtp/225.1.4.161:1197
CCTV8,http://219.156.210.92:10000/rtp/225.1.4.161:1197
CCTV8,http://219.156.33.17:4022/rtp/225.1.4.161:1197
CCTV8,http://114.250.22.176:8188/rtp/239.3.1.175:8001
CCTV8,http://123.120.0.171:4022/rtp/239.3.1.175:8001
CCTV8,http://221.220.130.93:9999/rtp/239.3.1.175:8001
CCTV8,http://114.248.1.66:23456/rtp/239.3.1.175:8001
CCTV8,http://221.219.178.216:4022/rtp/239.3.1.175:8001
CCTV8,http://121.29.215.187:2083/udp/239.253.92.195:6060
CCTV8,http://60.4.30.6:8077/udp/239.253.92.195:6060
CCTV8,http://27.223.140.6:4001/rtp/239.253.254.194:8000
CCTV8,http://39.87.233.138:4000/rtp/239.253.254.194:8000
CCTV8,http://39.87.232.178:4004/rtp/239.253.254.194:8000
CCTV8,http://39.77.162.237:4002/rtp/239.253.254.194:8000
CCTV9,http://115.58.142.128:4000/rtp/225.1.4.77:1106
CCTV9,http://182.114.137.129:8800/rtp/225.1.4.77:1106
CCTV9,http://219.156.210.92:10000/rtp/225.1.4.77:1106
CCTV9,http://219.156.33.17:4022/rtp/225.1.4.77:1106
CCTV9,http://114.250.22.176:8188/rtp/239.3.1.62:8112
CCTV9,http://123.120.0.171:4022/rtp/239.3.1.62:8112
CCTV9,http://221.220.130.93:9999/rtp/239.3.1.62:8112
CCTV9,http://114.248.1.66:23456/rtp/239.3.1.62:8112
CCTV9,http://221.219.178.216:4022/rtp/239.3.1.62:8112
CCTV9,http://121.29.215.187:2083/udp/239.253.92.107:6020
CCTV9,http://60.4.30.6:8077/udp/239.253.92.107:6020
CCTV9,http://27.223.140.6:4001/rtp/239.253.254.79:8000
CCTV9,http://39.87.233.138:4000/rtp/239.253.254.79:8000
CCTV9,http://39.87.232.178:4004/rtp/239.253.254.79:8000
CCTV9,http://39.77.162.237:4002/rtp/239.253.254.79:8000
CCTV10,http://115.58.142.128:4000/rtp/225.1.4.78:1107
CCTV10,http://182.114.137.129:8800/rtp/225.1.4.78:1107
CCTV10,http://219.156.210.92:10000/rtp/225.1.4.78:1107
CCTV10,http://219.156.33.17:4022/rtp/225.1.4.78:1107
CCTV10,http://114.250.22.176:8188/rtp/239.3.1.63:8116
CCTV10,http://123.120.0.171:4022/rtp/239.3.1.63:8116
CCTV10,http://221.220.130.93:9999/rtp/239.3.1.63:8116
CCTV10,http://114.248.1.66:23456/rtp/239.3.1.63:8116
CCTV10,http://221.219.178.216:4022/rtp/239.3.1.63:8116
CCTV10,http://121.29.215.187:2083/udp/239.253.92.196:6061
CCTV10,http://60.4.30.6:8077/udp/239.253.92.196:6061
CCTV10,http://121.29.215.187:2083/udp/239.253.93.87:6253
CCTV10,http://60.4.30.6:8077/udp/239.253.93.87:6253
CCTV10,http://27.223.140.6:4001/rtp/239.253.254.234:8000
CCTV10,http://39.87.233.138:4000/rtp/239.253.254.234:8000
CCTV10,http://39.87.232.178:4004/rtp/239.253.254.234:8000
CCTV10,http://39.77.162.237:4002/rtp/239.253.254.234:8000
CCTV11,http://115.58.142.128:4000/rtp/225.1.4.215:1268
CCTV11,http://182.114.137.129:8800/rtp/225.1.4.215:1268
CCTV11,http://219.156.210.92:10000/rtp/225.1.4.215:1268
CCTV11,http://219.156.33.17:4022/rtp/225.1.4.215:1268
CCTV11,http://114.250.22.176:8188/rtp/239.3.1.152:8120
CCTV11,http://123.120.0.171:4022/rtp/239.3.1.152:8120
CCTV11,http://221.220.130.93:9999/rtp/239.3.1.152:8120
CCTV11,http://114.248.1.66:23456/rtp/239.3.1.152:8120
CCTV11,http://221.219.178.216:4022/rtp/239.3.1.152:8120
CCTV11,http://121.29.215.187:2083/udp/239.253.93.153:6321
CCTV11,http://60.4.30.6:8077/udp/239.253.93.153:6321
CCTV11,http://27.223.140.6:4001/rtp/239.253.254.169:8000
CCTV11,http://39.87.233.138:4000/rtp/239.253.254.169:8000
CCTV11,http://39.87.232.178:4004/rtp/239.253.254.169:8000
CCTV11,http://39.77.162.237:4002/rtp/239.253.254.169:8000
CCTV12,http://115.58.142.128:4000/rtp/225.1.4.79:1108
CCTV12,http://182.114.137.129:8800/rtp/225.1.4.79:1108
CCTV12,http://219.156.210.92:10000/rtp/225.1.4.79:1108
CCTV12,http://219.156.33.17:4022/rtp/225.1.4.79:1108
CCTV12,http://114.250.22.176:8188/rtp/239.3.1.64:8124
CCTV12,http://123.120.0.171:4022/rtp/239.3.1.64:8124
CCTV12,http://221.220.130.93:9999/rtp/239.3.1.64:8124
CCTV12,http://114.248.1.66:23456/rtp/239.3.1.64:8124
CCTV12,http://221.219.178.216:4022/rtp/239.3.1.64:8124
CCTV12,http://121.29.215.187:2083/udp/239.253.92.197:6062
CCTV12,http://60.4.30.6:8077/udp/239.253.92.197:6062
CCTV12,http://121.29.215.187:2083/udp/239.253.93.88:6254
CCTV12,http://60.4.30.6:8077/udp/239.253.93.88:6254
CCTV12,http://27.223.140.6:4001/rtp/239.253.254.235:8000
CCTV12,http://39.87.233.138:4000/rtp/239.253.254.235:8000
CCTV12,http://39.87.232.178:4004/rtp/239.253.254.235:8000
CCTV12,http://39.77.162.237:4002/rtp/239.253.254.235:8000
CCTV13,http://115.58.142.128:4000/rtp/225.1.4.113:1293
CCTV13,http://182.114.137.129:8800/rtp/225.1.4.113:1293
CCTV13,http://219.156.210.92:10000/rtp/225.1.4.113:1293
CCTV13,http://219.156.33.17:4022/rtp/225.1.4.113:1293
CCTV13,http://114.250.22.176:8188/rtp/239.3.1.124:8128
CCTV13,http://123.120.0.171:4022/rtp/239.3.1.124:8128
CCTV13,http://221.220.130.93:9999/rtp/239.3.1.124:8128
CCTV13,http://114.248.1.66:23456/rtp/239.3.1.124:8128
CCTV13,http://221.219.178.216:4022/rtp/239.3.1.124:8128
CCTV13,http://121.29.215.187:2083/udp/239.253.92.13:8008
CCTV13,http://60.4.30.6:8077/udp/239.253.92.13:8008
CCTV13,http://27.223.140.6:4001/rtp/239.253.254.175:8000
CCTV13,http://39.87.233.138:4000/rtp/239.253.254.175:8000
CCTV13,http://39.87.232.178:4004/rtp/239.253.254.175:8000
CCTV13,http://39.77.162.237:4002/rtp/239.253.254.175:8000
CCTV14,http://115.58.142.128:4000/rtp/225.1.4.80:1109
CCTV14,http://182.114.137.129:8800/rtp/225.1.4.80:1109
CCTV14,http://219.156.210.92:10000/rtp/225.1.4.80:1109
CCTV14,http://219.156.33.17:4022/rtp/225.1.4.80:1109
CCTV14,http://114.250.22.176:8188/rtp/239.3.1.65:8132
CCTV14,http://123.120.0.171:4022/rtp/239.3.1.65:8132
CCTV14,http://221.220.130.93:9999/rtp/239.3.1.65:8132
CCTV14,http://114.248.1.66:23456/rtp/239.3.1.65:8132
CCTV14,http://221.219.178.216:4022/rtp/239.3.1.65:8132
CCTV14,http://121.29.215.187:2083/udp/239.253.92.198:6063
CCTV14,http://60.4.30.6:8077/udp/239.253.92.198:6063
CCTV14,http://121.29.215.187:2083/udp/239.253.93.89:6255
CCTV14,http://60.4.30.6:8077/udp/239.253.93.89:6255
CCTV14,http://27.223.140.6:4001/rtp/239.253.254.236:8000
CCTV14,http://39.87.233.138:4000/rtp/239.253.254.236:8000
CCTV14,http://39.87.232.178:4004/rtp/239.253.254.236:8000
CCTV14,http://39.77.162.237:4002/rtp/239.253.254.236:8000
CCTV15,http://115.58.142.128:4000/rtp/225.1.4.216:1269
CCTV15,http://182.114.137.129:8800/rtp/225.1.4.216:1269
CCTV15,http://219.156.210.92:10000/rtp/225.1.4.216:1269
CCTV15,http://219.156.33.17:4022/rtp/225.1.4.216:1269
CCTV15,http://114.250.22.176:8188/rtp/239.3.1.153:8136
CCTV15,http://123.120.0.171:4022/rtp/239.3.1.153:8136
CCTV15,http://221.220.130.93:9999/rtp/239.3.1.153:8136
CCTV15,http://114.248.1.66:23456/rtp/239.3.1.153:8136
CCTV15,http://221.219.178.216:4022/rtp/239.3.1.153:8136
CCTV15,http://121.29.215.187:2083/udp/239.253.93.154:6322
CCTV15,http://60.4.30.6:8077/udp/239.253.93.154:6322
CCTV15,http://27.223.140.6:4001/rtp/239.253.254.170:8000
CCTV15,http://39.87.233.138:4000/rtp/239.253.254.170:8000
CCTV15,http://39.87.232.178:4004/rtp/239.253.254.170:8000
CCTV15,http://39.77.162.237:4002/rtp/239.253.254.170:8000
CCTV16,http://114.250.22.176:8188/rtp/239.3.1.184:8001
CCTV16,http://123.120.0.171:4022/rtp/239.3.1.184:8001
CCTV16,http://221.220.130.93:9999/rtp/239.3.1.184:8001
CCTV16,http://114.248.1.66:23456/rtp/239.3.1.184:8001
CCTV16,http://221.219.178.216:4022/rtp/239.3.1.184:8001
CCTV16,http://121.29.215.187:2083/udp/239.253.94.35:6635
CCTV16,http://60.4.30.6:8077/udp/239.253.94.35:6635
CCTV17,http://115.58.142.128:4000/rtp/225.1.4.226:2506
CCTV17,http://182.114.137.129:8800/rtp/225.1.4.226:2506
CCTV17,http://219.156.210.92:10000/rtp/225.1.4.226:2506
CCTV17,http://219.156.33.17:4022/rtp/225.1.4.226:2506
CCTV17,http://114.250.22.176:8188/rtp/239.3.1.151:8144
CCTV17,http://123.120.0.171:4022/rtp/239.3.1.151:8144
CCTV17,http://221.220.130.93:9999/rtp/239.3.1.151:8144
CCTV17,http://114.248.1.66:23456/rtp/239.3.1.151:8144
CCTV17,http://221.219.178.216:4022/rtp/239.3.1.151:8144
CCTV17,http://121.29.215.187:2083/udp/239.253.93.150:6318
CCTV17,http://60.4.30.6:8077/udp/239.253.93.150:6318
CCTV17,http://27.223.140.6:4001/rtp/239.253.254.168:8000
CCTV17,http://39.87.233.138:4000/rtp/239.253.254.168:8000
CCTV17,http://39.87.232.178:4004/rtp/239.253.254.168:8000
CCTV17,http://39.77.162.237:4002/rtp/239.253.254.168:8000
